id_partido,liga,fecha_hora,local,visitante,xg_local,xg_visit,xg_total,diff_xg,senal_ah0,confianza_ah0,senal_ou25,confianza_ou25,xcorner_local,xcorner_visitante,xcorner_total,senal_corners,confianza_corners,resultado,resultado_ah0,resultado_ou25,resultado_corners,marcador_final,fecha_actualizacion,fecha_partido,hora_partido
7031390621804140072,PREMIER_LEAGUE,2026-06-03T00:13:37.133604,Brighton,Manchester United,1.78,1.65,3.43,0.13,NO_APOSTAR,BAJA,Over 2.5,ALTA,8.05,23.03,31.08,Over 4.5 Corners,MEDIA,acertado,no_apostar,acertado,sin_datos,0 - 3.,2026-06-03T00:14:24.593001,2026-05-24,15:00
17804260041781045024,PREMIER_LEAGUE,2026-06-03T00:13:37.133604,Burnley,Wolverhampton Wanderers,1.73,1.59,3.32,0.14,NO_APOSTAR,BAJA,Over 2.5,ALTA,5.23,24.39,29.62,Over 4.5 Corners,MEDIA,fallido,no_apostar,fallido,sin_datos,1 - 1.,2026-06-03T00:14:24.624070,2026-05-24,15:00
11376831756172109268,PREMIER_LEAGUE,2026-06-03T00:13:37.133604,Crystal Palace,Arsenal,1.6,1.81,3.41,-0.21,NO_APOSTAR,BAJA,Over 2.5,ALTA,5.35,20.16,25.52,Over 4.5 Corners,MEDIA,acertado,no_apostar,acertado,sin_datos,1 - 2.,2026-06-03T00:14:24.654174,2026-05-24,15:00
15273613546194174561,PREMIER_LEAGUE,2026-06-03T00:13:37.133604,Fulham,Newcastle United,1.75,1.6,3.35,0.15,NO_APOSTAR,BAJA,Over 2.5,ALTA,5.68,18.88,24.56,Over 4.5 Corners,MEDIA,fallido,no_apostar,fallido,sin_datos,2 - 0.,2026-06-03T00:14:24.680400,2026-05-24,15:00
13462671079682622195,PREMIER_LEAGUE,2026-06-03T00:13:37.133604,Liverpool,Brentford,2.02,1.58,3.6,0.44,AH0 - Liverpool,MEDIA,Over 2.5,ALTA,6.19,19.23,25.42,Over 4.5 Corners,MEDIA,fallido,devuelto,fallido,sin_datos,1 - 1.,2026-06-03T00:14:24.715713,2026-05-24,15:00
16754382685271758417,PREMIER_LEAGUE,2026-06-03T00:13:37.133604,Manchester City,Aston Villa,2.14,1.35,3.49,0.79,AH0 - Manchester City,ALTA,Over 2.5,ALTA,6.77,19.47,26.25,Over 4.5 Corners,MEDIA,fallido,fallido,acertado,sin_datos,1 - 2.,2026-06-03T00:14:24.745847,2026-05-24,15:00
9833941649021896546,PREMIER_LEAGUE,2026-06-03T00:13:37.133604,Nottingham Forest,Bournemouth,1.74,1.73,3.47,0.01,NO_APOSTAR,BAJA,Over 2.5,ALTA,7.02,22.36,29.38,Over 4.5 Corners,MEDIA,fallido,no_apostar,fallido,sin_datos,1 - 1.,2026-06-03T00:14:24.779746,2026-05-24,15:00
11834296948891259794,PREMIER_LEAGUE,2026-06-03T00:13:37.133604,Sunderland,Chelsea,1.69,1.75,3.44,-0.06,NO_APOSTAR,BAJA,Over 2.5,ALTA,4.59,19.78,24.37,Over 4.5 Corners,MEDIA,acertado,no_apostar,acertado,sin_datos,2 - 1.,2026-06-03T00:14:24.811560,2026-05-24,15:00
5376002958097395551,PREMIER_LEAGUE,2026-06-03T00:13:37.133604,Tottenham,Everton,1.75,1.39,3.14,0.36,NO_APOSTAR,BAJA,Over 2.5,MEDIA,7.51,23.77,31.28,Over 4.5 Corners,MEDIA,fallido,no_apostar,fallido,sin_datos,1 - 0.,2026-06-03T00:14:24.837155,2026-05-24,15:00
2875498408709142980,PREMIER_LEAGUE,2026-06-03T00:13:37.133604,West Ham,Leeds,1.75,1.68,3.43,0.07,NO_APOSTAR,BAJA,Over 2.5,ALTA,5.99,22.56,28.55,Over 4.5 Corners,MEDIA,acertado,no_apostar,acertado,sin_datos,3 - 0.,2026-06-03T00:14:24.862663,2026-05-24,15:00
18218828745241114944,LIGA_MX,2026-06-03T00:13:37.133604,Pumas UNAM,Cruz Azul,1.53,1.46,2.99,0.07,NO_APOSTAR,BAJA,Over 2.5,MEDIA,4.6,4.6,9.2,Over 4.5 Corners,MEDIA,acertado,no_apostar,acertado,sin_datos,1 - 2.,2026-06-03T00:14:24.897135,2026-05-25,01:00
15287232539311644097,AMISTOSOS_INT,2026-06-05T19:18:58.158321,Singapore,China,0.35,0.1,0.45,0.25,NO_APOSTAR,BAJA,Under 2.5,ALTA,0.0,0.0,0.0,NO_APOSTAR,BAJA,pendiente,pendiente,pendiente,no_apostar,,2026-06-05T19:28:34.794230,2026-06-05,11:30
9717073232231536368,AMISTOSOS_INT,2026-06-05T19:18:58.158321,Angola,Botswana,0.35,0.1,0.45,0.25,NO_APOSTAR,BAJA,Under 2.5,ALTA,0.0,0.0,0.0,NO_APOSTAR,BAJA,pendiente,pendiente,pendiente,no_apostar,,2026-06-05T19:28:34.794230,2026-06-05,12:00
15718625070843031811,AMISTOSOS_INT,2026-06-05T19:18:58.158321,Hong Kong,Mongolia,0.35,0.1,0.45,0.25,NO_APOSTAR,BAJA,Under 2.5,ALTA,0.0,0.0,0.0,NO_APOSTAR,BAJA,pendiente,pendiente,pendiente,no_apostar,,2026-06-05T19:28:34.794230,2026-06-05,12:00
9770330248704499207,AMISTOSOS_INT,2026-06-05T19:18:58.158321,Thailand,Kuwait,0.35,0.1,0.45,0.25,NO_APOSTAR,BAJA,Under 2.5,ALTA,0.0,0.0,0.0,NO_APOSTAR,BAJA,pendiente,pendiente,pendiente,no_apostar,,2026-06-05T19:28:34.794230,2026-06-05,12:30
6009669223838266302,AMISTOSOS_INT,2026-06-05T19:18:58.158321,Indonesia,Oman,0.35,0.1,0.45,0.25,NO_APOSTAR,BAJA,Under 2.5,ALTA,0.0,0.0,0.0,NO_APOSTAR,BAJA,pendiente,pendiente,pendiente,no_apostar,,2026-06-05T19:28:34.794230,2026-06-05,13:00
3556849570486914275,AMISTOSOS_INT,2026-06-05T19:18:58.158321,Belarus,Syria,0.35,0.1,0.45,0.25,NO_APOSTAR,BAJA,Under 2.5,ALTA,0.0,0.0,0.0,NO_APOSTAR,BAJA,pendiente,pendiente,pendiente,no_apostar,,2026-06-05T19:28:34.794230,2026-06-05,16:00
13335522400991135257,AMISTOSOS_INT,2026-06-05T19:18:58.158321,Georgia,Bahrain,0.35,0.1,0.45,0.25,NO_APOSTAR,BAJA,Under 2.5,ALTA,0.0,0.0,0.0,NO_APOSTAR,BAJA,pendiente,pendiente,pendiente,no_apostar,,2026-06-05T19:28:34.794230,2026-06-05,16:00
12616021287041249232,AMISTOSOS_INT,2026-06-05T19:18:58.158321,Slovakia,Montenegro,0.35,0.1,0.45,0.25,NO_APOSTAR,BAJA,Under 2.5,ALTA,0.0,0.0,0.0,NO_APOSTAR,BAJA,pendiente,pendiente,pendiente,no_apostar,,2026-06-05T19:28:34.794230,2026-06-05,16:30
8720607425547443822,AMISTOSOS_INT,2026-06-05T19:18:58.158321,Moldova,Bulgaria,0.35,0.1,0.45,0.25,NO_APOSTAR,BAJA,Under 2.5,ALTA,0.0,0.0,0.0,NO_APOSTAR,BAJA,pendiente,pendiente,pendiente,no_apostar,,2026-06-05T19:28:34.794230,2026-06-05,17:00
18208935684111341763,AMISTOSOS_INT,2026-06-05T19:18:58.158321,Borussia Dortmund,Burkina Faso,1.34,0.63,1.97,0.71,AH0 - Borussia Dortmund,MEDIA,Under 2.5,MEDIA,1.81,4.8,6.61,Over 4.5 Corners,MEDIA,pendiente,pendiente,pendiente,pendiente,,2026-06-05T19:28:34.794230,2026-06-05,17:00
17413514323209391571,AMISTOSOS_INT,2026-06-05T19:18:58.158321,San Marino,Bangladesh,0.35,0.1,0.45,0.25,NO_APOSTAR,BAJA,Under 2.5,ALTA,0.0,0.0,0.0,NO_APOSTAR,BAJA,pendiente,pendiente,pendiente,no_apostar,,2026-06-05T19:28:34.794230,2026-06-05,17:00
15413605900167442723,AMISTOSOS_INT,2026-06-05T19:18:58.158321,Hungary,Finland,0.35,0.1,0.45,0.25,NO_APOSTAR,BAJA,Under 2.5,ALTA,0.0,0.0,0.0,NO_APOSTAR,BAJA,pendiente,pendiente,pendiente,no_apostar,,2026-06-05T19:28:34.794230,2026-06-05,17:45
2960709194302310956,AMISTOSOS_INT,2026-06-05T19:18:58.158321,Azerbaijan,Malta,0.35,0.1,0.45,0.25,NO_APOSTAR,BAJA,Under 2.5,ALTA,0.0,0.0,0.0,NO_APOSTAR,BAJA,pendiente,pendiente,pendiente,no_apostar,,2026-06-05T19:28:34.794230,2026-06-05,18:00
6208113125252836442,AMISTOSOS_INT,2026-06-05T19:18:58.158321,Tanzania,Uganda,0.35,0.1,0.45,0.25,NO_APOSTAR,BAJA,Under 2.5,ALTA,0.0,0.0,0.0,NO_APOSTAR,BAJA,pendiente,pendiente,pendiente,no_apostar,,2026-06-05T19:28:34.794230,2026-06-05,18:00
7381982655665467720,AMISTOSOS_INT,2026-06-05T19:18:58.158321,Paraguay,Nicaragua,0.35,0.1,0.45,0.25,NO_APOSTAR,BAJA,Under 2.5,ALTA,0.0,0.0,0.0,NO_APOSTAR,BAJA,pendiente,pendiente,pendiente,no_apostar,,2026-06-05T19:28:34.794230,2026-06-05,22:45
17046252603351274798,AMISTOSOS_INT,2026-06-05T19:18:58.158321,Puerto Rico,Saudi Arabia,0.35,0.1,0.45,0.25,NO_APOSTAR,BAJA,Under 2.5,ALTA,0.0,0.0,0.0,NO_APOSTAR,BAJA,pendiente,pendiente,pendiente,no_apostar,,2026-06-05T19:28:34.794230,2026-06-05,23:00
14335593260963764715,AMISTOSOS_INT,2026-06-05T19:18:58.158321,Canada,Republic of Ireland,0.35,0.1,0.45,0.25,NO_APOSTAR,BAJA,Under 2.5,ALTA,0.0,0.0,0.0,NO_APOSTAR,BAJA,pendiente,pendiente,pendiente,no_apostar,,2026-06-05T19:28:34.794230,2026-06-05,23:30
